DATE,Price of Housing,POPPUL,Population,Interest Rates,Nasdaq,Energy Prices,GDI,GDP
01-01-2000,100.551,280.73 million,280.73,5,3633.1085,1.301,10156.746,10002.179
01-02-2000,101.339,280.94 million,280.94,5.24,4012.3705,1.369,10156.746,10002.179
01-03-2000,102.127,281.16 million,281.16,5.34,4436.54,1.541,10156.746,10002.179
01-04-2000,102.923,281.42 million,281.42,5.5,3742.25,1.506,10287.796,10247.72
01-05-2000,103.678,281.64 million,281.64,5.71,3412.798636,1.498,10287.796,10247.72
01-06-2000,104.424,281.89 million,281.89,6,3748.819091,1.617,10287.796,10247.72
01-07-2000,105.054,282.16 million,282.16,6,3825.9305,1.593,10440.599,10318.165
01-08-2000,105.768,282.42 million,282.42,6,3772.632609,1.51,10440.599,10318.165
01-09-2000,106.538,282.69 million,282.69,6,3742.1955,1.582,10440.599,10318.165
01-10-2000,107.382,282.96 million,282.96,6,3268.182727,1.559,10495.593,10435.744
01-11-2000,108.302,283.20 million,283.2,6,2943.904762,1.555,10495.593,10435.744
01-12-2000,109.14,283.44 million,283.44,6,2578.751,1.489,10495.593,10435.744
01-01-2001,109.846,283.65 million,283.65,5.52,2519.100455,1.472,10684.269,10470.231
01-02-2001,110.501,283.84 million,283.84,5,2244.432105,1.484,10684.269,10470.231
01-03-2001,111.109,284.05 million,284.05,4.81,1752.668182,1.447,10684.269,10470.231
01-04-2001,111.652,284.27 million,284.27,4.28,1677.5535,1.564,10728.773,10599
01-05-2001,112.164,284.49 million,284.49,3.73,1902.629091,1.729,10728.773,10599
01-06-2001,112.796,284.73 million,284.73,3.47,1795.329048,1.64,10728.773,10599
01-07-2001,113.491,284.97 million,284.97,3.25,1693.380476,1.482,10711.357,10598.02
01-08-2001,114.167,285.22 million,285.22,3.16,1589.965217,1.427,10711.357,10598.02
01-09-2001,114.812,285.49 million,285.49,2.77,1250.873333,1.531,10711.357,10598.02
01-10-2001,115.31,285.69 million,285.69,2.02,1334.296957,1.362,10658.388,10660.465
01-11-2001,115.858,285.92 million,285.92,1.58,1549.630476,1.263,10658.388,10660.465
01-12-2001,116.455,286.14 million,286.14,1.33,1626.695,1.131,10658.388,10660.465
01-01-2002,117.143,286.34 million,286.34,1.25,1598.3595,1.139,10824.06,10783.5
01-02-2002,117.845,286.54 million,286.54,1.25,1429.976316,1.13,10824.06,10783.5
01-03-2002,118.687,286.72 million,286.72,1.25,1486.063,1.241,10824.06,10783.5
01-04-2002,119.611,286.93 million,286.93,1.25,1356.386818,1.407,10963.229,10887.46
01-05-2002,120.724,287.15 million,287.15,1.25,1248.524091,1.421,10963.229,10887.46
01-06-2002,121.813,287.39 million,287.39,1.25,1105.0505,1.404,10963.229,10887.46
01-07-2002,122.888,287.63 million,287.63,1.25,977.605,1.412,11046.858,10984.04
01-08-2002,123.83,287.87 million,287.87,1.25,960.4727273,1.423,11046.858,10984.04
01-09-2002,124.78,288.13 million,288.13,1.25,893.1795,1.422,11046.858,10984.04
01-10-2002,125.735,288.38 million,288.38,1.25,913.2134783,1.449,11191.573,11061.433
01-11-2002,126.67,288.61 million,288.61,0.83,1057.7075,1.448,11191.573,11061.433
01-12-2002,127.624,288.80 million,288.8,0.75,1032.750476,1.394,11191.573,11061.433
01-01-2003,128.461,289.00 million,289,2.25,1035.547619,1.473,11241.416,11174.129
01-02-2003,129.355,289.13 million,289.13,2.25,984.1526316,1.641,11241.416,11174.129
01-03-2003,130.148,289.26 million,289.26,2.25,1028.748571,1.748,11241.416,11174.129
01-04-2003,130.884,289.40 million,289.4,2.25,1068.609048,1.659,11373.14,11312.766
01-05-2003,131.734,289.55 million,289.55,2.25,1144.999048,1.542,11373.14,11312.766
01-06-2003,132.649,289.82 million,289.82,2,1214.444286,1.514,11373.14,11312.766
